id,eng_name,malay_name,family
263,Lepisanthes amoena (Hassk.) Leenh.,Gegamba (Iban),
264,Melaleuca leucadendron L.,Gelam,
265,"Leptospermum polygalifolium Salisb.
(syn = Leptospermum flavescens Sm.)",Gelam bukit,
266,Osbornia octodonta F.Muell.,Gelam laut,
267,Agrostistachys borneensis Becc.,Gelintum (Iban),
268,Lumnitzera littorea Voigt,Geriting merah (Malay),
269,Lumnitzera racemosa Willd.,Geriting puteh (Malay),
270,Cratoxylum arborescens (Vahl) Blume,"Geronggang (Malay), Serungan (Malay, Brunei), Gerunggang amat (Iban)",
271,Cratoxylum formosum (Jack) Dyer,"Geronggang biabas (Malay), Serungan (Malay, Brunei)",
272,Glochidion superbum Baillon ex Müll.-Arg.,Gerumong jantan (Malay),
273,Aralia montana Blume,Gerungang (Dusun Bundu Tuhan),
274,Antidesma montanum Blume,Geruseh puteh (Malay),
275,Guioa pterorhachis Welzen,Geruyod/ Tengaranuk (Dusun),
276,Hevea brasiliensis (Willd. ex A.Juss.) Müll.-Arg.,Getah (Malay),
277,Hopea nutans Ridl.,Giam (Malay),
278,Ryparosa acuminata Merr.,Giewei/Jiwit/ Tampasak? (Dusun),
279,Ryparosa hulletii King,"Giewie (Dusun KBTGN), Kudok kudok, Kayu tahi gagi",
280,Sarcotheca glauca (Hook.f.) Hallier f.,"Gitan gizu (Rungus), Rangkas rangkas (Dusun Kinabatangan)",
281,Nephelium melanomiscum Radlk.,Harut (Kedayan),
282,Apodytes dimidiata E. Meyer ex Arn.,Ilu senien (Kelabit),
283,Koompassia malaccensis Maingay ex Benth.,"Impas, Kempas (Malay)",
284,Ixonanthes reticulata Jack,Inggir burung/ Pagar anak (Malay),
285,Saurauia subcordata** Korth.,Ingur amat (Iban),
286,Saurauia glabra Merr.,Ingur jugam (Iban),
287,Intsia palembanica Miq.,"Ipil (Murut), merbau ayer, merbau bukit (Iban)",
288,Pericopsis mooniana Thwaites,Ipil ayer,
289,Afzelia rhomboidea (Blanco) Vidal,"Ipil darat, Merbau tanduk (Malay)",
290,Intsia bijuga (Colebr.) Kuntze,"Ipil laut, Merbau paya (Malay)",
291,Elaeocarpus floribundus Blume,Itan (Kelabit),
292,Elaeocarpus sphaeroblastus Stapf ex Ridl.,"Itan padak/Itan, Dari/Itan da'ap (Kelabit)",
293,Syzygium aquea (Burm.f.) Alston,Jambu air (Malay),
294,"Syzygium racemosum (Blume) DC..)Syzygium javanicum Miq.
 (syn = Syzygium racemosum (Blume) DC.)",Jambu air rhio (Malay),
295,Psidium guajava L.,"Jambu batu (Malay), Liabas/Biabas (Dusun)",
296,Syzygium malaccense (L.) Merr. & L.M.Perry,"Jambu bol, Kelupah (Kelabit), Jambu lipa (Iban)",
297,Ternstroemia beccarii Stapf ex Ridl.,Jambu jambu,
298,Aporosa confusa Gage,Janggau api (Iban),
299,Aporosa nitida Merr.,Janggau jugam (Iban),
300,Archidendron ellipticum (Blume) I.C. Nielsen,Jaring-jaring (Malay),
301,Helicia robusta var. robusta (Roxb.) R.Br. ex Wall.,Jaring jaringan jawa (Malay),
302,Dysoxylum parasiticum (Osbeck) Kosterm.,Jarum-jarum (Malay),
303,Tectona grandis L.f.,Jati (Malay),
304,Dyera costulata (Miq.) Hook.f.,Jelutong bukit (Malay),
305,Dyera polyphylla (Miq.) Steenis,Jelutong paya (Malay),
306,Archidendron jiringa (Jack) I.C.Nielsen,Jering (Malay),
307,Archidendron kinabaluense (Kosterm.) I.C. Nielsen,Jering (Malay),
308,Symplocos adenophylla Wall. ex G.Don,"Jiak (Malay), Loboh (Kadazan)",
309,Symplocos fasciculata(Kuntze) Zoll.,"Jiak (Malay), Loboh (Kadazan)",
310,Tristaniopsis merguensis (Griff.) P.G. Wilson & J.T. Waterh.,Jinggau (Iban),
311,Dactylocladus stenostachys Oliv.,"Jongkong (Malay), Medang miang (Malay)",
312,Quassia indica (Gaertn.) Noot.,"Kacang-kacang (Malay), Kelapahit (Murut, Sook)",
313,"Aglaia tomentosa subsp. cordata (Hiern) Pannell
(syn = Aglaia cordata Hiern)","Kalambiao (Dusun), Langsat-Langsat (Malay)",
314,Nephelium cuspidatum Blume,"Kalambuko (Murut), Manggalun (Kadazan)",
315,Drypetes kikir Airy Shaw,Kalantai (Dusun),
316,Sterculia cordata Blume,Kalumpang (Malay),
317,Sterculia foetida L.,Kalumpang (Malay),
318,Dacryodes rostrata (Blume) H.J.Lam,Kambayau (Dusun),
319,Aleurites moluccana (L.) Willd.,"Kamiri (Malay), Bunsagil (Murut)",
320,Cleistanthus glaber Airy Shaw,Kamuning (Dusun),
321,Streblus macrophyllus Blume,"Kamuning, Lampasih (Dusun)",
322,Xanthophyllum nigricans Meijden,"Kamuning, Suitutubono tamuning (Kadazan), Minyak Berok (Malay)",
323,Xanthophyllum stipitatum Bennet,"Kamuning, Wangi beruk, Ranggir amat (Iban)",
324,Gonocaryum minus Sleumer,Kamuning/ Melanin (Dusun),
325,Guioa pleuropteris (Blume) Radlk.,"Kanawit/ Tangking manuk (Dusun), Kayu uwae (Iban)",
326,Fagraea teysmanii Cammerl.,"Kapan/ Uchip bali (Kenyah, Sarawak)",
327,Sandoricum beccarianum Baill.,Kapas-kapas (Malay),
328,Croton argyratus Blume,Kapas-kapas/ Balik angin (Malay),
329,Magnolia bintuluensis (Agostini) Noot.,Kapayang ambok,
330,Bombax ceiba L.,Kapok (Malay),
331,"Dryobalanops sumatrensis (J.F.Gmel.) Kosterm.
(syn = Dryobalanops aromatica C.F. Gaertn.)",Kapur barus (Malay),
332,Dryobalanops keithii Symington,Kapur gumpait (Malay),
333,Dryobalanops beccarii Dyer,"Kapur merah (Malay), Kapur bukit, Kayu keladan (Iban)",
334,Dryobalanops lanceolata Burck,Kapur paji (Malay),
335,Dryobalanops rappa Becc.,Kapur paya (Malay),
336,Microcos opaca Burret,Karadong (Dusun),
337,Gonystylus keithii Airy Shaw,Karai (Malay),
338,Disepalum anomalum Hook.f.,Karai bunga (Malay),
339,Disepalum coronatum Becc.,Karai bunga (Malay),
340,Orophea alba P.J.A.Kessler,Karai hitam (Malay),
341,Orophea corymbosa Miq.,Karai hitam (Malay),
342,Orophea dodecandra Miq.,Karai hitam (Malay),
343,Orophea kostermansiana P.J.A.Kessler,Karai hitam (Malay),
344,Orophea malayana P.J.A.Kessler,Karai hitam (Malay),
345,Orophea merrillii P.J.A.Kessler,Karai hitam (Malay),
346,Orophea myriantha Merr.,Karai hitam (Malay),
347,Orophea rubra P.J.A.Kessler,Karai hitam (Malay),
348,Orophea trigyna Miq.,Karai hitam (Malay),
349,"Polyalthia obliqua Hook.f. & Thomson
(syn = Polyalthia microtus Miq.)",Karai hulumdom (Malay),
350,Xylopia ferruginea Baill.,Karai jangkang (Malay),
351,Xylopia stenopetala Oliver,Karai jangkang bukit (Malay),
352,Polyalthia cauliflora Hook.f. & Thomson,"Karai larak merah (Malay), Bingkalia (Iban)",
353,"Maasia sumatrana (Miq.) Mols, Kessler & Rogstad
(syn = Polyalthia sumatrana (Miq.) Kurz)","Karai putih (Malay), Dila sai (Iban)",
354,Ixora brevicaudata Bremekamp,Karakat (Dusun),
355,Rhodomyrtus tomentosa (Aiton) Hassk.,Karamunting,
